Source,Target,Label,ID,Type,Weight
2,[],'vibhaag',,,
8,[],'vibhaag',,,
17,[],'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,[],'vibhaag',,,
24,86,'vibhaag',,,
21,[],'vibhaag',,,
7,[],'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,[],'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,[],'vibhaag',,,
10,[],'vibhaag',,,
3,[],'vibhaag',,,
1,[],'vibhaag',,,
6,[],'vibhaag',,,
5,[],'vibhaag',,,
20,[],'vibhaag',,,
14,[],'vibhaag',,,
13,[],'vibhaag',,,
2,[],'vibhaag',,,
8,[],'vibhaag',,,
17,[],'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,[],'vibhaag',,,
24,87,'vibhaag',,,
21,[],'vibhaag',,,
7,[],'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,[],'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,[],'vibhaag',,,
10,[],'vibhaag',,,
3,[],'vibhaag',,,
1,[],'vibhaag',,,
6,[],'vibhaag',,,
5,[],'vibhaag',,,
20,[],'vibhaag',,,
14,[],'vibhaag',,,
13,[],'vibhaag',,,
2,[],'vibhaag',,,
8,[],'vibhaag',,,
17,[],'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,[],'vibhaag',,,
24,89,'vibhaag',,,
21,80,'taali',,,
7,80,'taali',,,
4,[],'taali',,,
12,[],'taali',,,
9,78,'taali',,,
16,76,'taali',,,
22,79,'taali',,,
23,80,'taali',,,
10,79,'taali',,,
3,[],'taali',,,
1,78,'taali',,,
6,81,'taali',,,
5,79,'taali',,,
20,80,'taali',,,
14,80,'taali',,,
13,80,'taali',,,
2,78,'taali',,,
8,80,'taali',,,
17,79,'taali',,,
15,79,'taali',,,
11,80,'taali',,,
19,80,'taali',,,
18,80,'taali',,,
24,77,'taali',,,
21,88,'taali',,,
7,84,'taali',,,
4,[],'taali',,,
12,[],'taali',,,
9,83,'taali',,,
16,[],'taali',,,
22,81,'taali',,,
23,88,'taali',,,
10,86,'taali',,,
3,[],'taali',,,
1,82,'taali',,,
